date,code,open,high,low,close,volume
2021-01-04,sh.000300,5212.9313,5284.4343,5190.9372,5267.7181,21171138200
2021-01-05,sh.000300,5245.8355,5368.5049,5234.3775,5368.5049,22493115900
2021-01-06,sh.000300,5386.5144,5433.4694,5341.4304,5417.6677,19377344400
2021-01-07,sh.000300,5428.3944,5513.6568,5413.3526,5513.6568,21987208000
2021-01-08,sh.000300,5526.2876,5547.4733,5442.6939,5495.4306,20432495600
2021-01-11,sh.000300,5504.2358,5555.6916,5412.5046,5441.1583,23183598300
2021-01-12,sh.000300,5419.4996,5596.3525,5417.6272,5596.3525,22422018600
2021-01-13,sh.000300,5609.2637,5644.7195,5535.1435,5577.9711,26156988600
2021-01-14,sh.000300,5556.2125,5568.0179,5458.6818,5470.4563,24368338000
2021-01-15,sh.000300,5471.3910,5500.6348,5390.2737,5458.0812,23863743500
2021-01-18,sh.000300,5438.1618,5541.4613,5410.7750,5518.5205,20705186900
2021-01-19,sh.000300,5525.9690,5532.4793,5415.7166,5437.5234,21104342500
2021-01-20,sh.000300,5439.9111,5496.0493,5426.5357,5476.4336,17091326000
2021-01-21,sh.000300,5492.9587,5593.1058,5490.5626,5564.9693,20995019700
2021-01-22,sh.000300,5562.3790,5573.6594,5513.8769,5569.7760,19930002000
2021-01-25,sh.000300,5564.1237,5655.4795,5543.2663,5625.9232,19704701900
2021-01-26,sh.000300,5600.9017,5600.9017,5505.9962,5512.9678,17190459000
2021-01-27,sh.000300,5505.7708,5534.9928,5449.6385,5528.0034,16019084100
2021-01-28,sh.000300,5450.3695,5462.2352,5360.3766,5377.1427,17048558500
2021-01-29,sh.000300,5413.9684,5430.2015,5288.0955,5351.9646,18217878400
2021-02-01,sh.000300,5356.8535,5422.2990,5342.0458,5417.6484,16631370600
2021-02-02,sh.000300,5429.7032,5503.2145,5411.5173,5501.0915,16521056500
2021-02-03,sh.000300,5499.2961,5532.8864,5473.1237,5485.2008,18805431700
2021-02-04,sh.000300,5453.9764,5510.0535,5411.5749,5473.9475,18057565400
2021-02-05,sh.000300,5494.7011,5550.7714,5477.6517,5483.4140,18969959800
2021-02-08,sh.000300,5506.1423,5576.4908,5479.8529,5564.5618,16403377500
2021-02-09,sh.000300,5584.1650,5686.2502,5555.0537,5686.2502,16488726000
2021-02-10,sh.000300,5709.6840,5823.4219,5707.3295,5807.7191,17016978600
2021-02-18,sh.000300,5922.0714,5930.9122,5747.6631,5768.3814,21884868600
2021-02-19,sh.000300,5734.0193,5787.8871,5667.3209,5778.8420,21447578000
2021-02-22,sh.000300,5785.5097,5785.5097,5597.3327,5597.3327,28212438200
2021-02-23,sh.000300,5542.6841,5644.7551,5541.1092,5579.6681,23380772700
2021-02-24,sh.000300,5591.4795,5598.8284,5379.7278,5437.5683,22542861000
2021-02-25,sh.000300,5494.4706,5527.6296,5444.1646,5469.5584,23073602800
2021-02-26,sh.000300,5343.9041,5416.3197,5318.8579,5336.7609,21226454300
2021-03-01,sh.000300,5389.2499,5421.5550,5345.9449,5418.7837,17746352300
2021-03-02,sh.000300,5453.2847,5454.9687,5305.0545,5349.6301,19651111500
2021-03-03,sh.000300,5327.3467,5452.3960,5316.4809,5452.2125,19470905400
2021-03-04,sh.000300,5388.4785,5392.3725,5254.7771,5280.7058,21277521100
2021-03-05,sh.000300,5191.9699,5307.8203,5174.2458,5262.7958,20262795600
2021-03-08,sh.000300,5299.7907,5326.2602,5079.7984,5080.0246,23023163500
